  Frequency             I(Rs)                 V(R40:2)              V(C2:+)              
  7.943282347243e+005  9.506187390359e-001  3.802474956143e+000  1.000000000000e+000  
  1.000000000000e+006  6.894878655590e-001  2.757951462236e+000  1.000000000000e+000  
  1.258925411794e+006  4.832677502705e-001  1.933071001082e+000  1.000000000000e+000  
  1.584893192461e+006  3.312490497860e-001  1.324996199144e+000  1.000000000000e+000  
  1.995262314969e+006  2.246761711412e-001  8.987046845647e-001  1.000000000000e+000  
  2.511886431510e+006  1.523697317197e-001  6.094789268788e-001  1.000000000000e+000  
  3.162277660168e+006  1.039677909126e-001  4.158711636506e-001  1.000000000000e+000  
  3.981071705535e+006  7.120714307391e-002  2.848285722956e-001  1.000000000000e+000  
  5.011872336273e+006  4.851240115219e-002  1.940496046087e-001  1.000000000000e+000  
  6.309573444802e+006  3.274545235529e-002  1.309818094212e-001  1.000000000000e+000  
  7.943282347243e+006  2.190760983613e-002  8.763043934454e-002  1.000000000000e+000  
  1.000000000000e+007  1.452763253169e-002  5.811053012674e-002  1.000000000000e+000  
  1.258925411794e+007  9.579025650366e-003  3.831610260146e-002  1.000000000000e+000  
  1.584893192461e+007  6.317970599137e-003  2.527188239655e-002  1.000000000000e+000  
  1.995262314969e+007  4.192163534068e-003  1.676865413627e-002  1.000000000000e+000  
  2.511886431510e+007  2.812769375727e-003  1.125107750291e-002  1.000000000000e+000  
  3.162277660168e+007  1.919786300082e-003  7.679145200326e-003  1.000000000000e+000  
  3.981071705535e+007  1.342521715767e-003  5.370086863069e-003  1.000000000000e+000  
  5.011872336273e+007  9.689608677727e-004  3.875843471091e-003  1.000000000000e+000  
  6.309573444802e+007  7.256257037602e-004  2.902502815041e-003  1.000000000000e+000  
  7.943282347243e+007  5.646727532694e-004  2.258691013078e-003  1.000000000000e+000  
  1.000000000000e+008  4.554044947852e-004  1.821617979141e-003  1.000000000000e+000  
