  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  2.550338363309e-003  4.636514460017e-001  -1.854605784007e+000  -1.555191200246e-001  
  2.551338386197e-003  4.719248046698e-001  -1.887699218679e+000  -1.585018602437e-001  
  2.552338409085e-003  4.801691056048e-001  -1.920676422419e+000  -1.614783427943e-001  
  2.553338431974e-003  4.883825610273e-001  -1.953530244109e+000  -1.644484501646e-001  
  2.554338454862e-003  4.965740531720e-001  -1.986296212688e+000  -1.674120650945e-001  
  2.555338477750e-003  5.047625224140e-001  -2.019050089656e+000  -1.703690705801e-001  
  2.556338500638e-003  5.129372005452e-001  -2.051748802181e+000  -1.733193498787e-001  
  2.557338523526e-003  5.210763014433e-001  -2.084305205773e+000  -1.762627865129e-001  
  2.558338546414e-003  5.291930985781e-001  -2.116772394312e+000  -1.791992642755e-001  
  2.559338569303e-003  5.373045106939e-001  -2.149218042775e+000  -1.821286672342e-001  
  2.560338592191e-003  5.453968690649e-001  -2.181587476260e+000  -1.850508797358e-001  
  2.561338615079e-003  5.534544126947e-001  -2.213817650779e+000  -1.879657864112e-001  
  2.562338637967e-003  5.614903913767e-001  -2.245961565507e+000  -1.908732721794e-001  
  2.563338660855e-003  5.695192697278e-001  -2.278077078911e+000  -1.937732222527e-001  
  2.564338683744e-003  5.775212948807e-001  -2.310085179523e+000  -1.966655221409e-001  
  2.565338706632e-003  5.854934459028e-001  -2.341973783611e+000  -1.995500576555e-001  
  2.566338729520e-003  5.934473424324e-001  -2.373789369730e+000  -2.024267149149e-001  
  2.567338752408e-003  6.013860756131e-001  -2.405544302452e+000  -2.052953803485e-001  
  2.568338775296e-003  6.093007685604e-001  -2.437203074242e+000  -2.081559407009e-001  
  2.569338798185e-003  6.171824532556e-001  -2.468729813022e+000  -2.110082830370e-001  
  2.570338821073e-003  6.250408187425e-001  -2.500163274970e+000  -2.138522947461e-001  
  2.571338843961e-003  6.328776341242e-001  -2.531510536497e+000  -2.166878635462e-001  
  2.572338866849e-003  6.407040149028e-001  -2.562816059611e+000  -2.195148774890e-001  
  2.573338889737e-003  6.484918510824e-001  -2.593967404330e+000  -2.223332249636e-001  
  2.574338912625e-003  6.562506452593e-001  -2.625002581037e+000  -2.251427947013e-001  
  2.575338935514e-003  6.639863660001e-001  -2.655945464000e+000  -2.279434757801e-001  
  2.576338958402e-003  6.717055633890e-001  -2.686822253556e+000  -2.307351576289e-001  
  2.577338981290e-003  6.793955504603e-001  -2.717582201841e+000  -2.335177300318e-001  
  2.578339004178e-003  6.870543111195e-001  -2.748217244478e+000  -2.362910831325e-001  
  2.579339027066e-003  6.946861904487e-001  -2.778744761795e+000  -2.390551074388e-001  
  2.580339049955e-003  7.022956756840e-001  -2.809182702736e+000  -2.418096938268e-001  
  2.581339072843e-003  7.098809187683e-001  -2.839523675073e+000  -2.445547335451e-001  
  2.582339095731e-003  7.174348113387e-001  -2.869739245355e+000  -2.472901182193e-001  
  2.583339118619e-003  7.249565368172e-001  -2.899826147269e+000  -2.500157398562e-001  
  2.584339141507e-003  7.324536574557e-001  -2.929814629823e+000  -2.527314908480e-001  
  2.585339164395e-003  7.399267811169e-001  -2.959707124467e+000  -2.554372639765e-001  
  2.586339187284e-003  7.473701235743e-001  -2.989480494297e+000  -2.581329524176e-001  
  2.587339210172e-003  7.547807795035e-001  -3.019123118014e+000  -2.608184497452e-001  
  2.588339233060e-003  7.621591108007e-001  -3.048636443203e+000  -2.634936499357e-001  
  2.589339255948e-003  7.695124203409e-001  -3.078049681363e+000  -2.661584473718e-001  
  2.590339278836e-003  7.768397887632e-001  -3.107359155053e+000  -2.688127368472e-001  
  2.591339301725e-003  7.841354473515e-001  -3.136541789406e+000  -2.714564135703e-001  
  2.592339324613e-003  7.914015384594e-001  -3.165606153838e+000  -2.740893731683e-001  
  2.593339347501e-003  7.986395678413e-001  -3.194558271365e+000  -2.767115116919e-001  
  2.594339370389e-003  8.058402157514e-001  -3.223360863006e+000  -2.793227256188e-001  
  2.595339393277e-003  8.129973551115e-001  -3.251989420446e+000  -2.819229118579e-001  
  2.596339416165e-003  8.201456656582e-001  -3.280582662633e+000  -2.845119677537e-001  
  2.597339439054e-003  8.272667403477e-001  -3.309066961391e+000  -2.870897910900e-001  
  2.598339461942e-003  8.343455976627e-001  -3.337382390651e+000  -2.896562800941e-001  
  2.599339484830e-003  8.413808068828e-001  -3.365523227531e+000  -2.922113334408e-001  
  2.600339507718e-003  8.483894177145e-001  -3.393557670858e+000  -2.947548502563e-001  
  2.601339530606e-003  8.553703769588e-001  -3.421481507835e+000  -2.972867301224e-001  
